"Language","Angle","Mode","Setting","Seed"
"Bagirmi_bmi","74.70878","Baseline","manual","1"
"Burushaski_bsk","67.75286","Baseline","manual","1"
"Dani_LowerGrandValley_dni","88.95803","Baseline","manual","1"
"Imonda_imn","94.32826","Baseline","manual","1"
"Kayardild_gyd","108.93739","Baseline","manual","1"
"Lavukaleve_lvk","90.42897","Baseline","manual","1"
"Makah_myh","103.18475","Baseline","manual","1"
"Martuthunira_vma","101.5808","Baseline","manual","1"
"Maybrat_ayz","87.67467","Baseline","manual","1"
"Ngiyambaa_wyb","87.4588","Baseline","manual","1"
"Piraha_myp","110.15569","Baseline","manual","1"
"Rama_rma","92.78581","Baseline","manual","1"
"Tiwi_tiw","64.22443","Baseline","manual","1"
"Bagirmi_bmi","78.8158","Baseline","manual","2"
"Burushaski_bsk","80.18009","Baseline","manual","2"
"Dani_LowerGrandValley_dni","97.38131","Baseline","manual","2"
"Imonda_imn","63.57891","Baseline","manual","2"
"Kayardild_gyd","130.83137","Baseline","manual","2"
"Lavukaleve_lvk","81.79495","Baseline","manual","2"
"Makah_myh","103.30759","Baseline","manual","2"
"Martuthunira_vma","64.86714","Baseline","manual","2"
"Maybrat_ayz","88.22514","Baseline","manual","2"
"Ngiyambaa_wyb","92.88117","Baseline","manual","2"
"Piraha_myp","105.1249","Baseline","manual","2"
"Rama_rma","81.80125","Baseline","manual","2"
"Tiwi_tiw","59.38481","Baseline","manual","2"
"Bagirmi_bmi","98.06785","Baseline","manual","3"
"Burushaski_bsk","96.55741","Baseline","manual","3"
"Dani_LowerGrandValley_dni","77.77189","Baseline","manual","3"
"Imonda_imn","73.54363","Baseline","manual","3"
"Kayardild_gyd","119.75603","Baseline","manual","3"
"Lavukaleve_lvk","88.26469","Baseline","manual","3"
"Makah_myh","106.32827","Baseline","manual","3"
"Martuthunira_vma","79.49936","Baseline","manual","3"
"Maybrat_ayz","76.8286","Baseline","manual","3"
"Ngiyambaa_wyb","94.48059","Baseline","manual","3"
"Piraha_myp","64.79867","Baseline","manual","3"
"Rama_rma","104.6137","Baseline","manual","3"
"Tiwi_tiw","80.77162","Baseline","manual","3"
"Bagirmi_bmi","82.40971","Baseline","manual","4"
"Burushaski_bsk","84.23337","Baseline","manual","4"
"Dani_LowerGrandValley_dni","87.60772","Baseline","manual","4"
"Imonda_imn","109.12796","Baseline","manual","4"
"Kayardild_gyd","109.05151","Baseline","manual","4"
"Lavukaleve_lvk","96.11912","Baseline","manual","4"
"Makah_myh","105.29624","Baseline","manual","4"
"Martuthunira_vma","84.97102","Baseline","manual","4"
"Maybrat_ayz","70.06658","Baseline","manual","4"
"Ngiyambaa_wyb","101.50336","Baseline","manual","4"
"Piraha_myp","73.16925","Baseline","manual","4"
"Rama_rma","103.60248","Baseline","manual","4"
"Tiwi_tiw","87.12977","Baseline","manual","4"
"Bagirmi_bmi","75.23113","Baseline","manual","5"
"Burushaski_bsk","98.12718","Baseline","manual","5"
"Dani_LowerGrandValley_dni","82.56376","Baseline","manual","5"
"Imonda_imn","71.69188","Baseline","manual","5"
"Kayardild_gyd","113.50893","Baseline","manual","5"
"Lavukaleve_lvk","86.33273","Baseline","manual","5"
"Makah_myh","91.85234","Baseline","manual","5"
"Martuthunira_vma","80.27054","Baseline","manual","5"
"Maybrat_ayz","85.54728","Baseline","manual","5"
"Ngiyambaa_wyb","73.76108","Baseline","manual","5"
"Piraha_myp","82.38791","Baseline","manual","5"
"Rama_rma","76.44512","Baseline","manual","5"
"Tiwi_tiw","69.66086","Baseline","manual","5"
